Index,Message,Description,Message Abstract,Description Abstract
627,chore(deps): update dependency ts-jest to v27.1.4,,chore(deps): update dependency ts-jest to v27.1.4,
628,fix(deps): update dependency tsconfig-paths to v3.14.1,,fix(deps): update dependency tsconfig-paths to v3.14.1,
629,feat: Add skip import option to generate command,,feat: Add skip import option to generate command,
630,chore(deps): update typescript-eslint monorepo to v5.16.0,,chore(deps): update typescript-eslint monorepo to v5.16.0,
631,chore(): release v8.2.4,,chore(): release v8.2.4,
632,Merge pull request #1572 from zhangyuang/fix/watch,fix: watch compile error when tsconfig is modified,Merge pull request #1572 from zhangyuang/fix/watch,fix: watch compile error when tsconfig is modified
633,chore(deps): update dependency release-it to v14.13.1,,chore(deps): update dependency release-it to v14.13.1,
634,chore(deps): update dependency release-it to v14.13.0,,chore(deps): update dependency release-it to v14.13.0,
635,chore: use if condition,,chore: use if condition,
636,Merge pull request #1574 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v13.3.0,Merge pull request #1574 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v13.3.0
637,fix(deps): update angular-cli monorepo to v13.3.0,,fix(deps): update angular-cli monorepo to v13.3.0,
638,chore(deps): update dependency prettier to v2.6.0,,chore(deps): update dependency prettier to v2.6.0,
639,chore: update,,chore: update,
640,fix: fix watch compile error when tsconfig modified,,fix: fix watch compile error when tsconfig modified,
641,chore(deps): update commitlint monorepo to v16.2.3,,chore(deps): update commitlint monorepo to v16.2.3,
642,chore(): release v8.2.3,,chore(): release v8.2.3,
643,Merge pull request #1566 from stanimirovv/fix/add-exit-status,fix: fail on nest add results in non 0 exit code,Merge pull request #1566 from stanimirovv/fix/add-exit-status,fix: fail on nest add results in non 0 exit code
644,Merge pull request #1562 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v13.2.6,Merge pull request #1562 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v13.2.6
645,Merge pull request #1567 from nestjs/renovate/tsconfig-paths-3.x,fix(deps): update dependency tsconfig-paths to v3.14.0,Merge pull request #1567 from nestjs/renovate/tsconfig-paths-3.x,fix(deps): update dependency tsconfig-paths to v3.14.0
646,chore(deps): update typescript-eslint monorepo to v5.15.0,,chore(deps): update typescript-eslint monorepo to v5.15.0,
647,fix: add message to thrown error,,fix: add message to thrown error,
648,fix: set correct exit status on error,,fix: set correct exit status on error,
