Index,Message,Description
481,build: update .nvmrc Node.js version from 14 to 16 (#35676)
482,build: add stale configuration (#35698)
483,feat: allow custom v8 snapshots to be used in the main process and the default snapshot in the renderer process (#35266)
484,build: fix building with enable_basic_printing false (#35687)
485,fix: EventEmitter is missing properties in sandbox preload script. (#35522)
486,Bump v22.0.0-nightly.20220915
487,chore: make macOS spellchecker fns formal no-ops (#35514)
488,Bump v22.0.0-nightly.20220914
489,build: make check-symlinks.js aware of BRANDING.json changes (#35579)
490,docs: add back docs about asar archives (#35563)
491,docs: add IPC validation guideline link in checklist (#35573)
492,docs: Markdown linting and typo (#35568)
493,fix: allow maximizing when window enters tablet mode with WCO (#35617)
494,fix: remove extra dot in extension (#35618)
495,feat: expose content-bounds-updated event (#35533)
496,docs: fix typescript error in code samples (#35641)
497,Bump v22.0.0-nightly.20220913
498,docs: Use inline image link in faq.md (#35413)
499,docs: add performance advice to disable default menu creation (#35525)
500,"fix: potential ""Object has been destroyed"" error in BrowserWindow.getFocusedWindow (#35520)"
501,Bump v22.0.0-nightly.20220912
502,Bump v22.0.0-nightly.20220909
503,fix: ensure history navigations are sandboxed-iframe-aware (#35420)
504,chore: bump chromium to 107.0.5286.0 (main) (#35590)
505,chore: remove UnresponsiveSuppressor altogether (#35507)
506,docs: fix misspelling in fuses (#35609)
507,docs: update sandbox renderer defaults for Electron 20 (#35379)
508,fix: Set background for WCO container (#35569)
509,Bump v22.0.0-nightly.20220908
510,fix: session.getBlobData never resolves with blob sizes > 65536 (#35277)
511,docs: improve registerFileProtocol example (#35580)
512,ci: make sure artifacts are saved for fork PRs (#35593)
513,chore: move dark mode activation to main_win.cc (#35529)
514,docs: add fuses and asar integrity docs (#35528)
515,docs: fix missing includes in code example (#35479)
516,build(deps): bump ansi-regex from 4.1.0 to 4.1.1 (#35541)
517,chore: remove no-op force-paint for hidden windows (#35532)
518,chore: bump chromium to 107.0.5274.0 (main) (#35375)
519,Bump v22.0.0-nightly.20220906
520,"Revert ""Bump v22.0.0-nightly.20220906"""
521,Bump v22.0.0-nightly.20220906
522,Bump v22.0.0-nightly.20220905
523,fix: screen.getCursorScreenPoint() crash on Wayland (#35503)
524,Bump v22.0.0-nightly.20220902
525,Bump v22.0.0-nightly.20220901
526,feat: webFrameMain.origin (#35438)
527,chore: remove unneeded SetBackgroundOpaque hack (#35496)
528,refactor: BrowserView is owned by a BaseWindow (#35511)
529,chore: drop unresponsive suppressor for menus (#35498)
530,test: move api-media-handler-spec from spec-main to spec (#35518)
531,refactor: simplify WebContents::Destroy (#35510)
532,Bump v22.0.0-nightly.20220831
533,fix: crash loading non-standard schemes in iframes (#35485)
534,Bump v22.0.0-nightly.20220830
535,fix: compensate for title bar height when setting bounds on BrowserView (#34713)
536,chore: bump node to v16.17.0 (main) (#35350)
537,fix: crash on WebWorker destruction (#35422)
538,Bump v22.0.0-nightly.20220829
539,fix: crash when switching origins with emulation settings set (#35466)
540,chore: use nghttp2's config.h on all platforms (#35449)
541,docs: update docs description to match sidebar (#35144)
542,chore: delete implicit fallthrough patch (#35452)
543,fix: pass rfh instances through to the permission helper (#35419)
544,build: fix missing patch config dir error (#35451)
545,test: fix some broken globs for spec-main (#35439)
546,Bump v22.0.0-nightly.20220825
547,fix: fullscreen crashing with roundedCorners: false (#35421)
548,chore: remove unused GuestViewContainer (#35405)
549,fix: Node.js atob input validation (#35415)
550,ci: fix appveyor x64 tests (#35406)
551,ci: fixup doc-only-change on Windows (#35431)
552,build: fix export patches to work when source directory does not exist (#35432)
553,Bump v22.0.0-nightly.20220824
554,Bump v22.0.0-nightly.20220823
555,fix: add restore event for minimized maximization (#35342)
556,chore: apply chromium commit 30a32e6 (#35370)
